,Last_Price,Company Name,Sector
LYV,131.75,"Live Nation Entertainment, Inc.",Communication Services
EXR,135.69000244140625,Extra Space Storage Inc.,Real Estate
WAB,175.82000732421875,Westinghouse Air Brake Technologies Corporation,Industrials
EQT,50.16999816894531,EQT Corporation,Energy
MLM,481.6300048828125,"Martin Marietta Materials, Inc.",Materials
TPL,1263.489990234375,Texas Pacific Land Corporation,Energy
VTR,65.58999633789062,"Ventas, Inc.",Real Estate
EBAY,61.959999084472656,eBay Inc.,Consumer Discretionary
LEN,108.66000366210938,Lennar Corporation,Consumer Discretionary
AVB,200.38999938964844,"AvalonBay Communities, Inc.",Real Estate
K,82.26000213623047,Kellanova,Consumer Staples
RJF,136.27999877929688,"Raymond James Financial, Inc.",Financials
EFX,224.44000244140625,Equifax Inc.,Industrials
MTB,168.05999755859375,M&T Bank Corporation,Financials
ROK,242.42999267578125,"Rockwell Automation, Inc.",Industrials
TSCO,51.380001068115234,Tractor Supply Company,Consumer Discretionary
ANSS,309.7200012207031,"ANSYS, Inc.",Technology
DTE,130.50999450683594,DTE Energy Company,Utilities
MPWR,561.8400268554688,"Monolithic Power Systems, Inc.",Technology
NUE,115.5,Nucor Corporation,Materials
CCL,19.610000610351562,Carnival Corporation & plc,Consumer Discretionary
EQR,66.86000061035156,Equity Residential,Real Estate
DXCM,66.83999633789062,"DexCom, Inc.",Healthcare
AEE,96.3499984741211,Ameren Corporation,Utilities
DD,61.95000076293945,"DuPont de Nemours, Inc.",Materials
IP,49.02000045776367,International Paper Company,Consumer Discretionary
ROL,53.11000061035156,"Rollins, Inc.",Consumer Discretionary
TKO,148.5399932861328,"TKO Group Holdings, Inc.",Communication Services
WRB,66.93000030517578,W. R. Berkley Corporation,Financials
PPL,34.15999984741211,PPL Corporation,Utilities
CHD,101.91000366210938,"Church & Dwight Co., Inc.",Consumer Staples
IRM,84.48999786376953,Iron Mountain Incorporated,Real Estate
TYL,564.97998046875,"Tyler Technologies, Inc.",Technology
MCHP,44.900001525878906,Microchip Technology Incorporated,Technology
LVS,33.72999954223633,Las Vegas Sands Corp.,Consumer Discretionary
FITB,35.81999969482422,Fifth Third Bancorp,Financials
STT,82.31999969482422,State Street Corporation,Financials
CNP,36.2599983215332,"CenterPoint Energy, Inc.",Utilities
ATO,148.88999938964844,Atmos Energy Corporation,Utilities
PPG,103.11000061035156,"PPG Industries, Inc.",Materials
VRSN,244.6300048828125,"VeriSign, Inc.",Technology
DRI,196.35000610351562,"Darden Restaurants, Inc.",Consumer Discretionary
HPQ,24.280000686645508,HP Inc.,Technology
SBAC,212.13999938964844,SBA Communications Corporation,Real Estate
DOV,165.86000061035156,Dover Corporation,Industrials
WBD,9.260000228881836,"Warner Bros. Discovery, Inc.",Communication Services
FE,39.380001068115234,FirstEnergy Corp.,Utilities
GPN,90.26000213623047,Global Payments Inc.,Industrials
MTD,1061.6600341796875,Mettler-Toledo International Inc.,Healthcare
TDY,468.69000244140625,Teledyne Technologies Incorporated,Technology
STE,222.94000244140625,STERIS plc,Healthcare
EIX,56.060001373291016,Edison International,Utilities
ADM,44.380001068115234,Archer-Daniels-Midland Company,Consumer Staples
NVR,7121.08984375,"NVR, Inc.",Consumer Discretionary
TSN,59.7599983215332,"Tyson Foods, Inc.",Consumer Staples
CMS,71.12999725341797,CMS Energy Corporation,Utilities
CINF,134.6300048828125,Cincinnati Financial Corporation,Financials
ERIE,402.0,Erie Indemnity Company,Financials
EXPE,161.67999267578125,"Expedia Group, Inc.",Consumer Discretionary
ES,56.310001373291016,Eversource Energy,Utilities
ZBH,103.44000244140625,"Zimmer Biomet Holdings, Inc.",Healthcare
MKC,75.9000015258789,"McCormick & Company, Incorporated",Consumer Staples
EL,56.15999984741211,The Estee Lauder Companies Inc.,Consumer Staples
DVN,31.06999969482422,Devon Energy Corporation,Energy
TROW,90.16000366210938,"T. Rowe Price Group, Inc.",Financials
HBAN,13.710000038146973,Huntington Bancshares Incorporated,Financials
WAT,336.5199890136719,Waters Corporation,Healthcare
LII,561.1699829101562,Lennox International Inc.,Industrials
CTRA,25.8700008392334,Coterra Energy Inc.,Energy
PHM,97.16999816894531,"PulteGroup, Inc.",Consumer Discretionary
WSM,158.25,"Williams-Sonoma, Inc.",Consumer Discretionary
LH,230.47999572753906,Labcorp Holdings Inc.,Healthcare
NRG,97.38999938964844,"NRG Energy, Inc.",Utilities
WY,26.559999465942383,Weyerhaeuser Company,Real Estate
HAL,22.06999969482422,Halliburton Company,Energy
MAA,157.85000610351562,"Mid-America Apartment Communities, Inc.",Real Estate
MOH,340.0899963378906,"Molina Healthcare, Inc.",Healthcare
HUBB,351.95001220703125,Hubbell Incorporated,Industrials
IFF,72.97000122070312,International Flavors & Fragrances Inc.,Materials
STLD,122.6500015258789,"Steel Dynamics, Inc.",Materials
L,86.33000183105469,Loews Corporation,Financials
NTRS,93.2699966430664,Northern Trust Corporation,Financials
DGX,164.05999755859375,Quest Diagnostics Incorporated,Healthcare
ESS,271.95001220703125,"Essex Property Trust, Inc.",Real Estate
RF,20.0,Regions Financial Corporation,Financials
PTC,149.24000549316406,PTC Inc.,Technology
NI,38.150001525878906,NiSource Inc.,Utilities
BIIB,120.48999786376953,Biogen Inc.,Healthcare
DECK,116.05999755859375,Deckers Outdoor Corporation,Consumer Discretionary
NTAP,86.0999984741211,"NetApp, Inc.",Technology
